max_new_tokens,mean_new_tokens,mean_time_s,mean_tokps,measured_context_tokens,model,p50_new_tokens,p50_time_s,p50_tokps,p95_time_s,p95_tokps,runs,target_context_length,throughput_scope
64,64.0,1.7661017894744873,36.23978827096398,512,openai/gpt-oss-20b,64,1.7637183666229248,36.28697257518718,1.7875771522521973,36.49319228121387,5,512,prefill+decode
64,64.0,1.8522390365600585,34.55288010181511,1024,openai/gpt-oss-20b,64,1.8534557819366455,34.53009271854732,1.8559186458587646,34.63007234845636,5,1024,prefill+decode
64,64.0,2.1175642013549805,30.223551775752107,2048,openai/gpt-oss-20b,64,2.1158106327056885,30.2484537182598,2.1242923736572266,30.29959975722887,5,2048,prefill+decode
64,64.0,2.9653361797332765,21.590412252323475,4096,openai/gpt-oss-20b,64,2.9386041164398193,21.779047964289028,3.0783321857452393,21.85616358887473,5,4096,prefill+decode
